Pressure Switch	19-10-2021T12:11:47	19-10-2021T12:11:55
High Level	19-10-2021T12:12:12	19-10-2021T12:12:13
Low Level	19-10-2021T12:12:16	19-10-2021T12:12:17
High Level	19-10-2021T12:12:35	19-10-2021T12:12:47
High Level	19-10-2021T12:13:19	19-10-2021T12:13:23
Pressure Switch	19-10-2021T12:15:37	19-10-2021T12:15:48
Low Level	19-10-2021T12:15:53	19-10-2021T12:15:57
Motor Fault	19-10-2021T12:17:07	19-10-2021T12:17:15
Motor Fault	19-10-2021T12:17:10	19-10-2021T12:17:22
Pressure Switch	19-10-2021T12:18:20	19-10-2021T12:18:29
Low Level	19-10-2021T12:21:37	19-10-2021T12:21:38
Pressure Switch	19-10-2021T12:22:11	19-10-2021T12:22:13
High Level	19-10-2021T12:22:19	19-10-2021T12:22:22
Motor Fault	19-10-2021T12:22:47	19-10-2021T12:22:56
Motor Fault	19-10-2021T12:22:51	19-10-2021T12:22:55
Motor Fault	19-10-2021T12:24:06	19-10-2021T12:24:15
Emergency Stop	19-10-2021T12:25:00	19-10-2021T12:25:10
Motor Fault	19-10-2021T12:25:07	19-10-2021T12:25:08
High Level	19-10-2021T12:26:09	19-10-2021T12:26:12
Motor Fault	19-10-2021T12:26:30	19-10-2021T12:26:41
Emergency Stop	19-10-2021T12:27:07	19-10-2021T12:27:18
High Level	19-10-2021T12:28:10	19-10-2021T12:28:17
High Level	19-10-2021T12:28:10	19-10-2021T12:28:22
High Level	19-10-2021T12:28:32	19-10-2021T12:28:34
Pressure Switch	19-10-2021T12:29:05	19-10-2021T12:29:13
Pressure Switch	19-10-2021T12:29:53	19-10-2021T12:29:56
Motor Fault	19-10-2021T12:30:10	19-10-2021T12:30:15
Emergency Stop	19-10-2021T12:30:40	19-10-2021T12:30:42
Motor Fault	19-10-2021T12:31:34	19-10-2021T12:31:36
Pressure Switch	19-10-2021T12:32:01	19-10-2021T12:32:07
Motor Fault	19-10-2021T12:32:19	19-10-2021T12:32:28
Low Level	19-10-2021T12:33:55	19-10-2021T12:33:59
Pressure Switch	19-10-2021T12:34:58	19-10-2021T12:35:05
Emergency Stop	19-10-2021T12:35:13	19-10-2021T12:35:25
Low Level	19-10-2021T12:35:30	19-10-2021T12:35:34
Emergency Stop	19-10-2021T12:35:39	19-10-2021T12:35:44
Motor Fault	19-10-2021T12:36:59	19-10-2021T12:37:01
Motor Fault	19-10-2021T12:38:21	19-10-2021T12:38:29
High Level	19-10-2021T12:39:42	19-10-2021T12:39:50
Low Level	19-10-2021T12:40:50	19-10-2021T12:40:54
Low Level	19-10-2021T12:41:21	19-10-2021T12:41:24
Low Level	19-10-2021T12:41:32	19-10-2021T12:41:44
Pressure Switch	19-10-2021T12:42:05	19-10-2021T12:42:07
Emergency Stop	19-10-2021T12:42:06	19-10-2021T12:42:10
High Level	19-10-2021T12:42:11	19-10-2021T12:42:23
Emergency Stop	19-10-2021T12:43:13	19-10-2021T12:43:22
Motor Fault	19-10-2021T12:43:24	19-10-2021T12:43:35
Motor Fault	19-10-2021T12:43:27	19-10-2021T12:43:32
Emergency Stop	19-10-2021T12:44:05	19-10-2021T12:44:09
Low Level	19-10-2021T12:44:29	19-10-2021T12:44:38
Pressure Switch	19-10-2021T12:44:42	19-10-2021T12:44:50
Low Level	19-10-2021T12:45:02	19-10-2021T12:45:09
Pressure Switch	19-10-2021T12:45:45	19-10-2021T12:45:48
Motor Fault	19-10-2021T12:46:12	19-10-2021T12:46:23
Pressure Switch	19-10-2021T12:46:32	19-10-2021T12:46:42
Emergency Stop	19-10-2021T12:47:06	19-10-2021T12:47:14
High Level	19-10-2021T12:47:26	19-10-2021T12:47:39
Emergency Stop	19-10-2021T12:47:59	19-10-2021T12:48:12
Pressure Switch	19-10-2021T12:48:20	19-10-2021T12:48:27
Pressure Switch	19-10-2021T12:48:34	19-10-2021T12:48:36
Motor Fault	19-10-2021T12:48:39	19-10-2021T12:48:42
Low Level	19-10-2021T12:48:53	19-10-2021T12:48:59
Low Level	19-10-2021T12:49:09	19-10-2021T12:49:17
Low Level	19-10-2021T12:49:15	19-10-2021T12:49:24
Motor Fault	19-10-2021T12:50:44	19-10-2021T12:50:52
Low Level	19-10-2021T12:50:49	19-10-2021T12:50:50
High Level	19-10-2021T12:51:20	19-10-2021T12:51:31
Pressure Switch	19-10-2021T12:51:25	19-10-2021T12:51:30
Low Level	19-10-2021T12:51:34	19-10-2021T12:51:44
Pressure Switch	19-10-2021T12:51:57	19-10-2021T12:52:06
Motor Fault	19-10-2021T12:53:09	19-10-2021T12:53:22
Motor Fault	19-10-2021T12:54:05	19-10-2021T12:54:13
Motor Fault	19-10-2021T12:55:17	19-10-2021T12:55:27
Emergency Stop	19-10-2021T12:55:19	19-10-2021T12:55:28
Motor Fault	19-10-2021T12:55:48	19-10-2021T12:56:01
Pressure Switch	19-10-2021T12:58:05	19-10-2021T12:58:12
Pressure Switch	19-10-2021T12:58:47	19-10-2021T12:58:58
High Level	19-10-2021T12:59:16	19-10-2021T12:59:29
High Level	19-10-2021T12:59:44	19-10-2021T12:59:54
High Level	19-10-2021T01:00:24	19-10-2021T01:00:30
Motor Fault	19-10-2021T01:00:55	19-10-2021T01:01:00
Emergency Stop	19-10-2021T01:01:12	19-10-2021T01:01:14
Pressure Switch	19-10-2021T01:01:32	19-10-2021T01:01:41
Low Level	19-10-2021T01:02:05	19-10-2021T01:02:17
High Level	19-10-2021T01:02:11	19-10-2021T01:02:12
Pressure Switch	19-10-2021T01:02:34	19-10-2021T01:02:47
Motor Fault	19-10-2021T01:02:46	19-10-2021T01:02:48
Low Level	19-10-2021T01:03:12	19-10-2021T01:03:22
Low Level	19-10-2021T01:03:17	19-10-2021T01:03:22
Emergency Stop	19-10-2021T01:03:20	19-10-2021T01:03:24
Pressure Switch	19-10-2021T01:03:36	19-10-2021T01:03:43
Pressure Switch	19-10-2021T01:03:43	19-10-2021T01:03:45
Low Level	19-10-2021T01:04:28	19-10-2021T01:04:31
Emergency Stop	19-10-2021T01:04:49	19-10-2021T01:05:00
Motor Fault	19-10-2021T01:05:16	19-10-2021T01:05:18
Pressure Switch	19-10-2021T01:05:16	19-10-2021T01:05:18
Pressure Switch	19-10-2021T01:05:20	19-10-2021T01:05:30
Emergency Stop	19-10-2021T01:05:24	19-10-2021T01:05:34
Pressure Switch	19-10-2021T01:06:01	19-10-2021T01:06:03
Low Level	19-10-2021T01:06:20	19-10-2021T01:06:29
Low Level	19-10-2021T01:06:29	19-10-2021T01:06:39
Low Level	19-10-2021T01:06:58	19-10-2021T01:07:00
Motor Fault	19-10-2021T01:07:02	19-10-2021T01:07:03
Motor Fault	19-10-2021T01:07:08	19-10-2021T01:07:16
Pressure Switch	19-10-2021T01:07:14	19-10-2021T01:07:16
Motor Fault	19-10-2021T01:07:18	19-10-2021T01:07:25
Pressure Switch	19-10-2021T01:07:34	19-10-2021T01:07:39
Low Level	19-10-2021T01:07:45	19-10-2021T01:07:55
Motor Fault	19-10-2021T01:08:08	19-10-2021T01:08:16
Motor Fault	19-10-2021T01:08:17	19-10-2021T01:08:26
Pressure Switch	19-10-2021T01:09:06	19-10-2021T01:09:18
Pressure Switch	19-10-2021T01:09:32	19-10-2021T01:09:35
Emergency Stop	19-10-2021T01:09:42	19-10-2021T01:09:47
Low Level	19-10-2021T01:10:31	19-10-2021T01:10:39
High Level	19-10-2021T01:11:09	19-10-2021T01:11:10
Low Level	19-10-2021T01:11:10	19-10-2021T01:11:16
Pressure Switch	19-10-2021T01:11:20	19-10-2021T01:11:33
Motor Fault	19-10-2021T01:11:28	19-10-2021T01:11:29
Motor Fault	19-10-2021T01:11:39	19-10-2021T01:11:50
Pressure Switch	19-10-2021T01:11:48	19-10-2021T01:11:54
